Fecha,Institución,Pacientes,Positivos,En_estudio
07/07/2020,SSJ,105,50,55
07/07/2020,HCG,95,49,46
07/07/2020,ISSSTE,32,16,16
07/07/2020,IMSS,486,221,265
07/07/2020,Privados,47,20,27
08/07/2020,SSJ,102,48,54
08/07/2020,HCG,96,50,46
08/07/2020,ISSSTE,29,14,15
08/07/2020,IMSS,499,209,290
08/07/2020,Privados,58,29,29
09/07/2020,SSJ,108,46,62
09/07/2020,HCG,94,64,30
09/07/2020,ISSSTE,29,11,18
09/07/2020,IMSS,513,229,284
09/07/2020,Privados,66,39,27
10/07/2020,SSJ,107,52,55
10/07/2020,HCG,99,60,39
10/07/2020,ISSSTE,28,15,13
10/07/2020,IMSS,523,268,255
10/07/2020,Privados,71,38,33
11/07/2020,SSJ,105,50,55
11/07/2020,HCG,97,62,35
11/07/2020,ISSSTE,23,13,10
11/07/2020,IMSS,525,212,313
11/07/2020,Privados,36,23,13
12/07/2020,SSJ,112,49,63
12/07/2020,HCG,102,60,42
12/07/2020,ISSSTE,22,13,9
12/07/2020,IMSS,549,260,289
12/07/2020,Privados,54,31,14
13/07/2020,SSJ,104,44,60
13/07/2020,HCG,105,60,45
13/07/2020,ISSSTE,20,11,9
13/07/2020,IMSS,540,228,312
13/07/2020,Privados,65,45,20
14/07/2020,SSJ,104,47,57
14/07/2020,HCG,100,64,36
14/07/2020,ISSSTE,18,10,8
14/07/2020,IMSS,528,287,241
14/07/2020,Privados,67,45,22
15/07/2020,SSJ,99,33,66
15/07/2020,HCG,97,57,40
15/07/2020,ISSSTE,15,7,8
15/07/2020,IMSS,521,291,230
15/07/2020,Privados,63,46,17
16/07/2020,SSJ,107,35,72
16/07/2020,HCG,94,54,40
16/07/2020,ISSSTE,20,7,13
16/07/2020,IMSS,502,302,200
16/07/2020,Privados,64,41,23
17/07/2020,SSJ,110,50,60
17/07/2020,HCG,87,56,31
17/07/2020,ISSSTE,19,5,14
17/07/2020,IMSS,507,292,215
17/07/2020,Privados,72,57,15
18/07/2020,SSJ,109,45,64
18/07/2020,HCG,86,57,29
18/07/2020,ISSSTE,21,7,14
18/07/2020,IMSS,498,251,247
18/07/2020,Privados,55,33,22
19/07/2020,SSJ,120,52,68
19/07/2020,HCG,88,56,32
19/07/2020,ISSSTE,22,6,16
19/07/2020,IMSS,516,389,127
19/07/2020,Privados,55,33,22
20/07/2020,SSJ,111,56,55
20/07/2020,HCG,101,57,44
20/07/2020,ISSSTE,22,4,18
20/07/2020,IMSS,499,278,221
20/07/2020,Privados,66,53,13
21/07/2020,SSJ,121,55,66
21/07/2020,HCG,98,57,41
21/07/2020,ISSSTE,22,4,18
21/07/2020,IMSS,533,286,247
21/07/2020,Privados,52,36,16
22/07/2020,SSJ,122,53,69
22/07/2020,HCG,97,49,48
22/07/2020,ISSSTE,25,6,19
22/07/2020,IMSS,533,323,210
22/07/2020,Privados,65,48,17
23/07/2020,SSJ,119,52,67
23/07/2020,HCG,87,60,27
23/07/2020,ISSSTE,27,5,22
23/07/2020,IMSS,527,291,236
23/07/2020,Privados,56,45,11
24/07/2020,SSJ,121,54,67
24/07/2020,HCG,92,63,29
24/07/2020,ISSSTE,31,8,23
24/07/2020,IMSS,534,297,237
24/07/2020,Privados,60,48,12
25/07/2020,SSJ,128,53,75
25/07/2020,HCG,94,64,30
25/07/2020,ISSSTE,32,8,24
25/07/2020,IMSS,530,265,265
25/07/2020,Privados,68,51,17
26/07/2020,SSJ,142,57,85
26/07/2020,HCG,89,57,32
26/07/2020,ISSSTE,30,6,24
26/07/2020,IMSS,536,312,224
26/07/2020,Privados,68,51,17
27/07/2020,SSJ,143,54,89
27/07/2020,HCG,93,48,45
27/07/2020,ISSSTE,30,6,24
27/07/2020,IMSS,557,310,247
27/07/2020,Privados,63,50,13
28/07/2020,SSJ,140,57,83
28/07/2020,HCG,85,52,33
28/07/2020,ISSSTE,32,8,24
28/07/2020,IMSS,568,323,245
28/07/2020,Privados,82,48,34
29/07/2020,SSJ,137,65,72
29/07/2020,HCG,100,58,42
29/07/2020,ISSSTE,36,8,28
29/07/2020,IMSS,556,357,199
29/07/2020,Privados,63,46,17
30/07/2020,SSJ,142,72,70
30/07/2020,HCG,90,56,34
30/07/2020,ISSSTE,33,6,27
30/07/2020,IMSS,534,360,174
30/07/2020,Privados,69,41,28
31/07/2020,SSJ,144,68,76
31/07/2020,HCG,95,66,29
31/07/2020,ISSSTE,27,12,15
31/07/2020,IMSS,513,292,221
31/07/2020,Privados,70,49,21
01/08/2020,SSJ,153,81,72
01/08/2020,HCG,91,60,31
01/08/2020,ISSSTE,30,11,19
01/08/2020,IMSS,522,320,202
01/08/2020,Privados,45,30,15
02/08/2020,SSJ,146,88,58
02/08/2020,HCG,84,43,41
02/08/2020,ISSSTE,31,11,20
02/08/2020,IMSS,537,329,208
02/08/2020,Privados,54,34,20
03/08/2020,SSJ,141,84,57
03/08/2020,HCG,79,45,34
03/08/2020,ISSSTE,32,15,17
03/08/2020,IMSS,544,286,258
03/08/2020,Privados,62,34,28
04/08/2020,SSJ,131,79,52
04/08/2020,HCG,74,55,19
04/08/2020,ISSSTE,33,13,20
04/08/2020,IMSS,531,333,198
04/08/2020,Privados,48,30,18
05/08/2020,SSJ,130,80,50
05/08/2020,HCG,74,51,23
05/08/2020,ISSSTE,32,13,19
05/08/2020,IMSS,554,313,241
05/08/2020,Privados,66,36,30
06/08/2020,SSJ,128,80,48
06/08/2020,HCG,70,51,19
06/08/2020,ISSSTE,35,11,24
06/08/2020,IMSS,554,313,241
06/08/2020,Privados,81,55,26
07/08/2020,SSJ,141,84,57
07/08/2020,HCG,74,50,24
07/08/2020,ISSSTE,33,15,18
07/08/2020,IMSS,470,305,165
07/08/2020,Privados,69,46,23
08/08/2020,SSJ,135,76,59
08/08/2020,HCG,74,48,26
08/08/2020,ISSSTE,32,14,18
08/08/2020,IMSS,508,289,219
08/08/2020,Privados,69,46,23
09/08/2020,SSJ,137,81,56
09/08/2020,HCG,78,50,28
09/08/2020,ISSSTE,34,12,22
09/08/2020,IMSS,496,291,205
09/08/2020,Privados,52,39,13
10/08/2020,SSJ,146,75,71
10/08/2020,HCG,80,42,38
10/08/2020,ISSSTE,34,11,23
10/08/2020,IMSS,522,290,232
10/08/2020,Privados,56,41,15
11/08/2020,SSJ,142,81,61
11/08/2020,HCG,78,50,28
11/08/2020,ISSSTE,35,10,25
11/08/2020,IMSS,523,292,231
11/08/2020,Privados,73,46,27
12/08/2020,SSJ,140,80,60
12/08/2020,HCG,77,52,25
12/08/2020,ISSSTE,36,18,18
12/08/2020,IMSS,481,278,203
12/08/2020,Privados,80,52,28
13/08/2020,SSJ,134,76,58
13/08/2020,HCG,76,52,24
13/08/2020,ISSSTE,37,18,19
13/08/2020,IMSS,501,285,216
13/08/2020,Privados,74,45,29
14/08/2020,SSJ,158,91,67
14/08/2020,HCG,79,53,26
14/08/2020,ISSSTE,39,16,23
14/08/2020,IMSS,500,254,246
14/08/2020,Privados,55,36,19
15/08/2020,SSJ,157,89,68
15/08/2020,HCG,77,51,26
15/08/2020,ISSSTE,38,14,24
15/08/2020,IMSS,500,254,246
15/08/2020,Privados,69,52,17
16/08/2020,SSJ,157,78,79
16/08/2020,HCG,96,50,46
16/08/2020,ISSSTE,36,13,23
16/08/2020,IMSS,499,254,245
16/08/2020,Privados,26,19,7
17/08/2020,SSJ,151,84,67
